,Value,Type,Class,Description
858,DoreGold,Text,Person,name of person
859,TheNetherlands,Text,Location,a place
860,THOMSON,Text,Person,name of person
861,RAITHROVERS,Text,Organization,organizations such as private company and goverment
862,PetraDrnovice,Text,Organization,organizations such as private company and goverment
863,SlovanLiberec,Text,Organization,organizations such as private company and goverment
864,Southampton,Text,Organization,organizations such as private company and goverment
865,IRISHTIMES,Text,Organization,organizations such as private company and goverment
866,Bastia,Text,Organization,organizations such as private company and goverment
867,Lille,Text,Organization,organizations such as private company and goverment
868,ThomasEnqvist,Text,Person,name of person
869,Sweden,Text,Location,a place
870,StephaneSimian,Text,Person,name of person
871,France,Text,Location,a place
872,STLOUIS,Text,Organization,organizations such as private company and goverment
873,HOUSTON,Text,Location,a place
874,Lebed,Text,Person,name of person
875,Moscow,Text,Location,a place
876,Olsza,Text,Person,name of person
877,VnukovoAirlines,Text,Organization,organizations such as private company and goverment
878,Moscow,Text,Location,a place
879,Longyearbyen,Text,Location,a place
880,NEWYORK,Text,Location,a place
881,Barcelona,Text,Location,a place
882,TORONTO,Text,Location,a place
883,BrushWellmanInc,Text,Organization,organizations such as private company and goverment
884,TEXAS,Text,Organization,organizations such as private company and goverment
885,Seychelles,Text,Location,a place
886,Togo,Text,Location,a place
887,Congo,Text,Location,a place
888,Clinton,Text,Person,name of person
889,Arafat,Text,Person,name of person
890,Peres,Text,Person,name of person
891,Gaza,Text,Location,a place
892,Lenzing,Text,Organization,organizations such as private company and goverment
893,Bragantino,Text,Organization,organizations such as private company and goverment
894,VascodaGama,Text,Organization,organizations such as private company and goverment
895,PKK,Text,Organization,organizations such as private company and goverment
896,Diyarbakir,Text,Location,a place
897,NICE,Text,Organization,organizations such as private company and goverment
898,EMON,Text,Person,name of person
899,Germany,Text,Location,a place
900,Poland,Text,Location,a place
901,Sydney,Text,Organization,organizations such as private company and goverment
902,Nepal,Text,Location,a place
903,NepaliCongress,Text,Organization,organizations such as private company and goverment
904,CommunistUnitedMarxist-Leninist,Text,Organization,organizations such as private company and goverment
905,UML,Text,Organization,organizations such as private company and goverment
906,Raichev,Text,Person,name of person
907,WayneFerreira,Text,Person,name of person
908,SouthAfrica,Text,Location,a place
909,ThomasEnqvist,Text,Person,name of person
910,Grasshopper,Text,Organization,organizations such as private company and goverment
911,Lucerne,Text,Organization,organizations such as private company and goverment
912,Bamerindus,Text,Organization,organizations such as private company and goverment
913,Brazil,Text,Location,a place
914,U.S.,Text,Location,a place
915,Bosnia,Text,Location,a place
916,Damascus,Text,Location,a place
917,LouisBooy,Text,Person,name of person
918,Vanderbijlpark,Text,Location,a place
919,Johannesburg,Text,Location,a place
920,Essex,Text,Organization,organizations such as private company and goverment
921,G.Gooch,Text,Person,name of person
922,D.Robinson,Text,Person,name of person
923,PhnomPenh,Text,Location,a place
924,IengMouly,Text,Person,name of person
925,ChandaRubin,Text,Person,name of person
926,AMSTETTEN,Text,Location,a place
927,Austria,Text,Location,a place
928,PetrobulkRainbow,Text,Organization,organizations such as private company and goverment
929,Okinawa,Text,Location,a place
930,Inchon,Text,Location,a place
931,Honam,Text,Organization,organizations such as private company and goverment
932,SANDIEGO,Text,Organization,organizations such as private company and goverment
933,NEWYORK,Text,Location,a place
934,Clinton,Text,Person,name of person
935,NBC,Text,Organization,organizations such as private company and goverment
936,NEWYORK,Text,Location,a place
937,Gencor,Text,Organization,organizations such as private company and goverment
938,CALIFORNIA,Text,Organization,organizations such as private company and goverment
939,NEWYORK,Text,Location,a place
940,MILAN,Text,Location,a place
941,Yeltsin,Text,Person,name of person
942,Fiorentina,Text,Organization,organizations such as private company and goverment
943,GabrielBatistuta,Text,Person,name of person
944,Bolton,Text,Organization,organizations such as private company and goverment
945,Norwich,Text,Organization,organizations such as private company and goverment
946,Stockholm,Text,Location,a place
947,NEWYORK,Text,Location,a place
948,Khmer,Text,Organization,organizations such as private company and goverment
949,MADRID,Text,Location,a place
950,Croatia,Text,Location,a place
951,BONN,Text,Location,a place
952,Britain,Text,Location,a place
953,Caribbean,Text,Location,a place
954,Smyth,Text,Person,name of person
955,Ireland,Text,Location,a place
956,DavidCarter,Text,Person,name of person
957,SteveWebster,Text,Person,name of person
958,DougFlach,Text,Person,name of person
959,U.S.,Text,Location,a place
960,GianlucaPozzi,Text,Person,name of person
961,Italy,Text,Location,a place
962,TrentBridge,Text,Location,a place
963,Nottinghamshire,Text,Organization,organizations such as private company and goverment
964,G.Archer,Text,Person,name of person
965,SriLanka,Text,Location,a place
966,Fernandez,Text,Person,name of person
967,Montreal,Text,Organization,organizations such as private company and goverment
968,AwamiLeague,Text,Organization,organizations such as private company and goverment
969,Janakantha,Text,Organization,organizations such as private company and goverment
970,FinanceMinistry,Text,Organization,organizations such as private company and goverment
971,JanVanEijden,Text,Person,name of person
972,SaeedAnwar,Text,Person,name of person
973,BAYERISCHEVEREINSBANK,Text,Organization,organizations such as private company and goverment
974,Takemura,Text,Person,name of person
975,Hatoyama,Text,Person,name of person
976,LITTLEROCK,Text,Location,a place
977,Ark,Text,Location,a place
978,Biogen,Text,Organization,organizations such as private company and goverment
979,SecuritiesandExchangeCommission,Text,Organization,organizations such as private company and goverment
980,Schutte,Text,Person,name of person
981,Yeltsin,Text,Person,name of person
982,Interfax,Text,Organization,organizations such as private company and goverment
983,WallStreet,Text,Location,a place
984,AJAX,Text,Organization,organizations such as private company and goverment
985,HEERENVEEN,Text,Location,a place
986,L.Botham,Text,Person,name of person
987,Nepal,Text,Location,a place
988,Tibet,Text,Location,a place
989,China,Text,Location,a place
990,LanceArmstrong,Text,Person,name of person
991,U.S.,Text,Location,a place
992,Motorola,Text,Organization,organizations such as private company and goverment
993,Israel,Text,Location,a place
994,Netherlands,Text,Location,a place
995,Arafat,Text,Person,name of person
996,Gaza,Text,Location,a place
997,Ross,Text,Person,name of person
998,Camelot,Text,Location,a place
999,Virginia,Text,Location,a place
1000,Newcombe,Text,Person,name of person
1001,Australia,Text,Location,a place
1002,ALLENTOWN,Text,Location,a place
1003,Pa,Text,Location,a place
1004,YasushiAkashi,Text,Person,name of person
1005,DHA,Text,Organization,organizations such as private company and goverment
1006,SecurityCouncil,Text,Organization,organizations such as private company and goverment
1007,ThomasMuster,Text,Person,name of person
1008,Austria,Text,Location,a place
1009,DirkDier,Text,Person,name of person
1010,Germany,Text,Location,a place
1011,EdnaFernandes,Text,Person,name of person
1012,M.Waugh,Text,Person,name of person
1013,EdwinvanderSar,Text,Person,name of person
1014,Ajax,Text,Organization,organizations such as private company and goverment
1015,EddeGoey,Text,Person,name of person
1016,Feyenoord,Text,Organization,organizations such as private company and goverment
1017,LISBON,Text,Location,a place
1018,ManchesterUnited,Text,Organization,organizations such as private company and goverment
1019,Cruyff,Text,Person,name of person
1020,Solskjaer,Text,Person,name of person
1021,Ajax,Text,Organization,organizations such as private company and goverment
1022,NAC,Text,Organization,organizations such as private company and goverment
1023,Breda,Text,Location,a place
1024,Ethiopia,Text,Location,a place
1025,Uganda,Text,Location,a place
1026,StPauli,Text,Organization,organizations such as private company and goverment
1027,Valkov,Text,Person,name of person
1028,BalkanAirlines,Text,Organization,organizations such as private company and goverment
1029,BlackSea,Text,Location,a place
1030,Juppe,Text,Person,name of person
1031,Paris,Text,Location,a place
1032,MuthiahMuralitharan,Text,Person,name of person
1033,RavindraPushpakumara,Text,Person,name of person
1034,JAKARTA,Text,Location,a place
1035,Hungary,Text,Location,a place
1036,Lancashire,Text,Organization,organizations such as private company and goverment
1037,Byas,Text,Person,name of person
1038,ATLANTA,Text,Organization,organizations such as private company and goverment
1039,AMSTERDAM,Text,Location,a place
1040,AnnettNeumann,Text,Person,name of person
1041,Germany,Text,Location,a place
1042,GalinaEnioukhina,Text,Person,name of person
1043,Russia,Text,Location,a place
1044,Bamerindus,Text,Organization,organizations such as private company and goverment
1045,CentralBank,Text,Organization,organizations such as private company and goverment
1046,PeterMitchell,Text,Person,name of person
1047,PhilipWalton,Text,Person,name of person
1048,Ireland,Text,Location,a place
1049,SlaskWroclaw,Text,Organization,organizations such as private company and goverment
1050,OdraWodzislaw,Text,Organization,organizations such as private company and goverment
1051,OM,Text,Organization,organizations such as private company and goverment
1052,Auckland,Text,Location,a place
1053,NorthShore,Text,Location,a place
1054,NewZealandPressAssociation,Text,Organization,organizations such as private company and goverment
1055,YuliaGraudin,Text,Person,name of person
1056,Russia,Text,Location,a place
1057,W.N.F.Chandraratne,Text,Person,name of person
1058,Ferguson,Text,Person,name of person
1059,Scotland,Text,Location,a place
1060,Promodes,Text,Organization,organizations such as private company and goverment
1061,Marlins,Text,Organization,organizations such as private company and goverment
1062,Reds,Text,Organization,organizations such as private company and goverment
1063,BALTIMORE,Text,Organization,organizations such as private company and goverment
1064,Oakland,Text,Organization,organizations such as private company and goverment
1065,CarlSuneson,Text,Person,name of person
1066,Spain,Text,Location,a place
1067,Bourlet,Text,Person,name of person
1068,JohnHinckley,Text,Person,name of person
1069,Reagan,Text,Person,name of person
1070,JodieFoster,Text,Person,name of person
1071,DIYARBAKIR,Text,Location,a place
1072,Turkey,Text,Location,a place
1073,U.S.,Text,Location,a place
1074,RobertPelletreau,Text,Person,name of person
1075,Davies,Text,Person,name of person
1076,Exeter,Text,Organization,organizations such as private company and goverment
1077,Scarborough,Text,Organization,organizations such as private company and goverment
1078,RobertGutenstein,Text,Person,name of person
1079,"Kalf,Voorhis&Co",Text,Organization,organizations such as private company and goverment
1080,CharlesAustin,Text,Person,name of person
1081,U.S.,Text,Location,a place
1082,APA,Text,Organization,organizations such as private company and goverment
1083,Portuguesa,Text,Organization,organizations such as private company and goverment
1084,Britain,Text,Location,a place
1085,MiroslavBak,Text,Person,name of person
1086,ELPAIS,Text,Organization,organizations such as private company and goverment
1087,NationalTennisCentre,Text,Location,a place
1088,FirstUnion,Text,Organization,organizations such as private company and goverment
1089,R.Kaluwitharana,Text,Person,name of person
1090,Tendulkar,Text,Person,name of person
1091,Asia,Text,Location,a place
1092,CNIEC,Text,Organization,organizations such as private company and goverment
1093,SEC,Text,Organization,organizations such as private company and goverment
1094,RichardLindsey,Text,Person,name of person
1095,WallStreet,Text,Location,a place
1096,SidwellFriendsSchool,Text,Organization,organizations such as private company and goverment
1097,Washington,Text,Location,a place
1098,KurdistanWorkersParty,Text,Organization,organizations such as private company and goverment
1099,PKK,Text,Organization,organizations such as private company and goverment
1100,Brechin,Text,Organization,organizations such as private company and goverment
1101,Ayr,Text,Organization,organizations such as private company and goverment
1102,WaqarYounis,Text,Person,name of person
1103,RamonMachuca,Text,Person,name of person
1104,Sidor,Text,Organization,organizations such as private company and goverment
1105,RadicalCause,Text,Organization,organizations such as private company and goverment
1106,KANSASCITY,Text,Organization,organizations such as private company and goverment
1107,Texas,Text,Organization,organizations such as private company and goverment
1108,Zicot,Text,Person,name of person
1109,Ethiopia,Text,Location,a place
1110,NadarajahMuralidaran,Text,Person,name of person
1111,TamilTiger,Text,Organization,organizations such as private company and goverment
1112,Zurich,Text,Location,a place
1113,LaurentOttoz,Text,Person,name of person
1114,Italy,Text,Location,a place
1115,CostaRica,Text,Location,a place
1116,ParisSaint-Germain,Text,Organization,organizations such as private company and goverment
1117,CHANDARUBIN,Text,Person,name of person
1118,Housecall,Text,Organization,organizations such as private company and goverment
1119,SANFRANCISCO,Text,Organization,organizations such as private company and goverment
1120,NewYork,Text,Organization,organizations such as private company and goverment
1121,MOODY'S,Text,Organization,organizations such as private company and goverment
1122,ASARCO,Text,Organization,organizations such as private company and goverment
1123,Pakistan,Text,Location,a place
1124,SaeedAnwar,Text,Person,name of person
1125,Dayton,Text,Location,a place
1126,OSCE,Text,Organization,organizations such as private company and goverment
1127,QueenoftheSouth,Text,Organization,organizations such as private company and goverment
1128,Dumbarton,Text,Organization,organizations such as private company and goverment
1129,SeafordUnion,Text,Location,a place
1130,N.Y.,Text,Location,a place
1131,KamielMaase,Text,Person,name of person
1132,Netherlands,Text,Location,a place
1133,ElectRes,Text,Organization,organizations such as private company and goverment
1134,Scotland,Text,Location,a place
1135,AamirSohail,Text,Person,name of person
1136,Cork,Text,Person,name of person
1137,Croft,Text,Person,name of person
1138,GianniBugno,Text,Person,name of person
1139,Hamburg,Text,Location,a place
1140,U.S.,Text,Location,a place
1141,GaryLauck,Text,Person,name of person
1142,Germany,Text,Location,a place
1143,UnitedStates,Text,Location,a place
1144,WorldComInc,Text,Organization,organizations such as private company and goverment
1145,MFSCommunicationsCoInc,Text,Organization,organizations such as private company and goverment
1146,Iraq,Text,Location,a place
1147,Nigeria,Text,Location,a place
1148,Commonwealth,Text,Organization,organizations such as private company and goverment
1149,KenSaro-Wiwa,Text,Person,name of person
1150,Clinton,Text,Person,name of person
1151,Kuchma,Text,Person,name of person
1152,Kiev,Text,Location,a place
1153,EuropeanUnion,Text,Organization,organizations such as private company and goverment
1154,WesternEuropeanUnion,Text,Organization,organizations such as private company and goverment
1155,NATO,Text,Organization,organizations such as private company and goverment
1156,Monterrey,Text,Organization,organizations such as private company and goverment
1157,Israel,Text,Location,a place
1158,KiryatSefer,Text,Location,a place
1159,ArabEastJerusalem,Text,Location,a place
1160,ROMANIA,Text,Location,a place
1161,MILWAUKEE,Text,Organization,organizations such as private company and goverment
1162,CHICAGO,Text,Location,a place
1163,Europe,Text,Location,a place
1164,Essilor,Text,Organization,organizations such as private company and goverment
1165,OakleyInc,Text,Organization,organizations such as private company and goverment
1166,UnitedStates,Text,Location,a place
1167,GentextOpticsInc,Text,Organization,organizations such as private company and goverment
1168,EssilorInternational,Text,Organization,organizations such as private company and goverment
1169,CarolNorris,Text,Person,name of person
1170,CarlosCheca,Text,Person,name of person
1171,Spain,Text,Location,a place
1172,Honda,Text,Organization,organizations such as private company and goverment
1173,Scotland,Text,Location,a place
1174,Belgrade,Text,Location,a place
1175,SriLanka,Text,Location,a place
1176,Australia,Text,Location,a place
1177,Stansted,Text,Location,a place
1178,Heathrow,Text,Location,a place
1179,Gatwick,Text,Location,a place
1180,Lehman,Text,Organization,organizations such as private company and goverment
1181,BlakeBath,Text,Person,name of person
1182,SouthernNewEnglandTelecommunciationsCorp,Text,Organization,organizations such as private company and goverment
1183,LabanRotich,Text,Person,name of person
1184,Kenya,Text,Location,a place
1185,BetarJerusalem,Text,Organization,organizations such as private company and goverment
1186,Taibe,Text,Organization,organizations such as private company and goverment
1187,KaremHajYihye,Text,Person,name of person
1188,Jean-LouisDebre,Text,Person,name of person
1189,LaCorse,Text,Organization,organizations such as private company and goverment
1190,TELO,Text,Organization,organizations such as private company and goverment
1191,Trincomalee,Text,Location,a place
1192,Sfeir,Text,Person,name of person
1193,Freetown,Text,Location,a place
1194,Santos,Text,Organization,organizations such as private company and goverment
1195,Morelia,Text,Organization,organizations such as private company and goverment
1196,SEC,Text,Organization,organizations such as private company and goverment
1197,Nantes,Text,Organization,organizations such as private company and goverment
1198,HINCHCLIFFE,Text,Person,name of person
1199,ENGLAND,Text,Location,a place
1200,IssaAlloush,Text,Person,name of person
1201,ENGLAND,Text,Location,a place
1202,PAKISTAN,Text,Location,a place
1203,Csepel,Text,Organization,organizations such as private company and goverment
1204,Videoton(*,Text,Organization,organizations such as private company and goverment
1205,Tehran,Text,Location,a place
1206,Ankara,Text,Location,a place
1207,Turkey,Text,Location,a place
1208,AmsterdamNewsroom,Text,Organization,organizations such as private company and goverment
1209,SigekiMaruyama,Text,Person,name of person
1210,Japan,Text,Location,a place
1211,India,Text,Location,a place
1212,SriLanka,Text,Location,a place
1213,Mayfiar,Text,Person,name of person
1214,SteveStricker,Text,Person,name of person
1215,DuffyWaldorf,Text,Person,name of person
1216,U.S.,Text,Location,a place
1217,Indonesia,Text,Location,a place
1218,Sidhu,Text,Person,name of person
1219,SriLanka,Text,Location,a place
1220,Pakistan,Text,Location,a place
1221,Canada,Text,Location,a place
1222,Pittsburgh,Text,Organization,organizations such as private company and goverment
1223,COLORADO,Text,Organization,organizations such as private company and goverment
1224,Germany,Text,Location,a place
1225,EuropeanUnion,Text,Organization,organizations such as private company and goverment
1226,WernerZwingmann,Text,Person,name of person
1227,Britain,Text,Location,a place
1228,Cologne,Text,Location,a place
1229,AUSTRIA,Text,Location,a place
1230,SCOTLAND,Text,Location,a place
1231,BayernMunich,Text,Organization,organizations such as private company and goverment
1232,Dole,Text,Person,name of person
1233,LONDON,Text,Location,a place
1234,Hamas,Text,Organization,organizations such as private company and goverment
1235,IslamicSalvationFront,Text,Organization,organizations such as private company and goverment
1236,FIS,Text,Organization,organizations such as private company and goverment
1237,Implats,Text,Organization,organizations such as private company and goverment
1238,Lotte,Text,Organization,organizations such as private company and goverment
1239,Huber,Text,Person,name of person
1240,AmandaCoetzer,Text,Person,name of person
1241,AntoineLebouc,Text,Person,name of person
1242,France,Text,Location,a place
1243,IanWoosnam,Text,Person,name of person
1244,NecmettinErbakan,Text,Person,name of person
1245,Iran,Text,Location,a place
1246,YANKEES,Text,Organization,organizations such as private company and goverment
1247,RomanianSoccerFederation,Text,Organization,organizations such as private company and goverment
1248,JiulPetrosani,Text,Organization,organizations such as private company and goverment
1249,MironCozma,Text,Person,name of person
1250,MerrillLynch,Text,Organization,organizations such as private company and goverment
1251,SBCWarburg,Text,Organization,organizations such as private company and goverment
1252,Malta,Text,Location,a place
1253,Feugill,Text,Person,name of person
1254,Marines,Text,Organization,organizations such as private company and goverment
1255,MasanagaShiohara,Text,Person,name of person
1256,Japan,Text,Location,a place
1257,Egypt,Text,Location,a place
1258,Chang,Text,Person,name of person
1259,Albania,Text,Location,a place
1260,OTTAWA,Text,Location,a place
1261,France,Text,Location,a place
1262,Emeraud,Text,Organization,organizations such as private company and goverment
1263,Start,Text,Organization,organizations such as private company and goverment
1264,Stockport,Text,Organization,organizations such as private company and goverment
1265,Bournemouth,Text,Organization,organizations such as private company and goverment
1266,GillianRussell,Text,Person,name of person
1267,Jamaica,Text,Location,a place
1268,SouthAfrica,Text,Location,a place
1269,GideonChirchir,Text,Person,name of person
1270,Kenya,Text,Location,a place
1271,Israel,Text,Location,a place
1272,PalestinianAuthority,Text,Organization,organizations such as private company and goverment
1273,HillaryRodhamClinton,Text,Person,name of person
1274,PolPot,Text,Person,name of person
1275,KhmerRouge,Text,Organization,organizations such as private company and goverment
1276,Cambodia,Text,Location,a place
1277,CINCINNATI,Text,Organization,organizations such as private company and goverment
1278,COLORADO,Text,Location,a place
1279,Reading,Text,Organization,organizations such as private company and goverment
1280,Cambodia,Text,Location,a place
1281,EzerWeizman,Text,Person,name of person
1282,YasserArafat,Text,Person,name of person
1283,Israel,Text,Location,a place
1284,KeijiKojima,Text,Person,name of person
1285,Japan,Text,Location,a place
1286,Grozny,Text,Location,a place
1287,Chechnya,Text,Location,a place
1288,AnatolyShkirko,Text,Person,name of person
1289,Interfax,Text,Organization,organizations such as private company and goverment
1290,PakistaniKashmir,Text,Location,a place
1291,Stallone,Text,Person,name of person
1292,Rohrabacher,Text,Person,name of person
1293,Bagram,Text,Location,a place
1294,Kabul,Text,Location,a place
1295,RedCross,Text,Organization,organizations such as private company and goverment
1296,AbdulRashidDostum,Text,Person,name of person
1297,ATHENS,Text,Location,a place
1298,Treasury,Text,Organization,organizations such as private company and goverment
1299,Williams,Text,Person,name of person
1300,Ilott,Text,Person,name of person
1301,Gloucestershire,Text,Organization,organizations such as private company and goverment
1302,Colchester,Text,Location,a place
1303,VicorpRestaurants,Text,Organization,organizations such as private company and goverment
1304,Sabourin,Text,Location,a place
1305,BankDuta,Text,Organization,organizations such as private company and goverment
1306,Wolverhampton,Text,Organization,organizations such as private company and goverment
1307,Belmondo,Text,Person,name of person
1308,France,Text,Location,a place
1309,ChuckAdams,Text,Person,name of person
1310,U.S.,Text,Location,a place
1311,SriLanka,Text,Location,a place
1312,NewZealand,Text,Location,a place
1313,DAWN,Text,Organization,organizations such as private company and goverment
1314,NECNijmegen,Text,Organization,organizations such as private company and goverment
1315,COLOMBO,Text,Location,a place
1316,EuropeanUnion,Text,Organization,organizations such as private company and goverment
1317,SARAJEVO,Text,Location,a place
1318,Leipzig,Text,Location,a place
1319,Halle,Text,Location,a place
1320,Guinea,Text,Location,a place
1321,SidiaToure,Text,Person,name of person
1322,FrancisMoreau,Text,Person,name of person
1323,France,Text,Location,a place
1324,CINCINNATI,Text,Organization,organizations such as private company and goverment
1325,COLORADO,Text,Location,a place
1326,JonDahlTomasson,Text,Person,name of person
1327,Ajax,Text,Organization,organizations such as private company and goverment
1328,vanderSar,Text,Person,name of person
1329,Hamilton,Text,Organization,organizations such as private company and goverment
1330,Clyde,Text,Organization,organizations such as private company and goverment
1331,Mexico,Text,Location,a place
1332,Durham,Text,Organization,organizations such as private company and goverment
1333,MDS,Text,Organization,organizations such as private company and goverment
1334,AhmedMestiri,Text,Person,name of person
1335,Mubarak,Text,Person,name of person
1336,Ekeus,Text,Person,name of person
1337,UnitedNationsSpecialCommission,Text,Organization,organizations such as private company and goverment
1338,UNSCOM,Text,Organization,organizations such as private company and goverment
1339,Iraq,Text,Location,a place
1340,Simpson,Text,Person,name of person
1341,MalcolmRifkind,Text,Person,name of person
1342,London,Text,Location,a place
1343,Morocco,Text,Location,a place
1344,SalahHissou,Text,Person,name of person
1345,Brussels,Text,Location,a place
1346,Vaduz,Text,Location,a place
1347,AlanKernaghan,Text,Person,name of person
1348,LiamDaish,Text,Person,name of person
1349,HongKong,Text,Location,a place
1350,MohamedAliKhalfallah,Text,Person,name of person
1351,MovementofSocialistDemocrats,Text,Organization,organizations such as private company and goverment
1352,MDS,Text,Organization,organizations such as private company and goverment
1353,GoranIvanisevic,Text,Person,name of person
1354,Croatia,Text,Location,a place
1355,MikaelTillstrom,Text,Person,name of person
1356,Sweden,Text,Location,a place
1357,SEC,Text,Organization,organizations such as private company and goverment
1358,UNSecurityCouncil,Text,Organization,organizations such as private company and goverment
1359,Angola,Text,Location,a place
1360,VitorBaia,Text,Person,name of person
1361,RuiCorreia,Text,Person,name of person
1362,Egypt,Text,Location,a place
1363,FLORIDA,Text,Organization,organizations such as private company and goverment
1364,JERUSALEM,Text,Location,a place
1365,WillemIITilburg,Text,Organization,organizations such as private company and goverment
1366,NewYorkTimes,Text,Organization,organizations such as private company and goverment
1367,ArminiaBielefeld,Text,Organization,organizations such as private company and goverment
1368,VonHeesen,Text,Person,name of person
1369,Duisburg,Text,Organization,organizations such as private company and goverment
1370,Hirsch,Text,Person,name of person
1371,JulieTolkacheva,Text,Person,name of person
1372,MoscowNewsroom,Text,Organization,organizations such as private company and goverment
1373,COMMACK,Text,Location,a place
1374,NewYork,Text,Location,a place
1375,Akashi,Text,Person,name of person
1376,DepartmentofHumanitarianaffairs,Text,Organization,organizations such as private company and goverment
1377,FairviewTown,Text,Location,a place
1378,WASHINGTON,Text,Location,a place
1379,GKSKatowice,Text,Organization,organizations such as private company and goverment
1380,PoloniaWarsaw,Text,Organization,organizations such as private company and goverment
1381,Almere,Text,Location,a place
1382,Doetinchem,Text,Location,a place
1383,Israel,Text,Location,a place
1384,AnneThily,Text,Person,name of person
1385,Liege,Text,Location,a place
1386,Julie,Text,Person,name of person
1387,Melissa,Text,Person,name of person
1388,U.S.,Text,Location,a place
1389,FederalBureauofInvestigation,Text,Organization,organizations such as private company and goverment
1390,DennisLillee,Text,Person,name of person
1391,Australia,Text,Location,a place
1392,MILWAUKEE,Text,Organization,organizations such as private company and goverment
1393,PaulLawrie,Text,Person,name of person
1394,MiguelAngelJimenez,Text,Person,name of person
1395,Spain,Text,Location,a place
1396,PennTreaty,Text,Organization,organizations such as private company and goverment
1397,NewYork,Text,Location,a place
1398,ENGLAND,Text,Location,a place
1399,SriLanka,Text,Location,a place
1400,WorldXI,Text,Organization,organizations such as private company and goverment
1401,TUNIS,Text,Location,a place
1402,WASHINGTON,Text,Location,a place
1403,FCLinz,Text,Organization,organizations such as private company and goverment
1404,Baker,Text,Person,name of person
1405,Syria,Text,Location,a place
1406,Rio,Text,Location,a place
1407,Moscow,Text,Location,a place
1408,Brazil,Text,Location,a place
1409,Russia,Text,Location,a place
1410,Mass,Text,Location,a place
1411,OFKKikinda,Text,Organization,organizations such as private company and goverment
1412,Bratislava,Text,Location,a place
1413,An,Text,Person,name of person
1414,Eefje,Text,Person,name of person
1415,Prague,Text,Location,a place
1416,Auxerre,Text,Organization,organizations such as private company and goverment
1417,Marseille,Text,Organization,organizations such as private company and goverment
1418,LynneO'Donnell,Text,Person,name of person
1419,Dutroux,Text,Person,name of person
1420,JulieLejeune,Text,Person,name of person
1421,MelissaRusso,Text,Person,name of person
1422,Charleroi,Text,Location,a place
1423,WilfriedPeeters,Text,Person,name of person
1424,Belgium,Text,Location,a place
1425,Mapei,Text,Organization,organizations such as private company and goverment
1426,Minnesota,Text,Location,a place
1427,JohnJaha,Text,Person,name of person
1428,MilwaukeeBrewers,Text,Organization,organizations such as private company and goverment
1429,Twins,Text,Organization,organizations such as private company and goverment
1430,China,Text,Location,a place
1431,Taiwan,Text,Location,a place
1432,DETROIT,Text,Organization,organizations such as private company and goverment
1433,Chicago,Text,Organization,organizations such as private company and goverment
1434,LONDON,Text,Location,a place
1435,Stansted,Text,Location,a place
1436,London,Text,Location,a place
1437,Heathrow,Text,Location,a place
1438,Gatwick,Text,Location,a place
1439,Bosnia,Text,Location,a place
1440,NACBreda,Text,Organization,organizations such as private company and goverment
1441,SEC,Text,Organization,organizations such as private company and goverment
1442,NationalAssociationofSecuritiesDealers,Text,Organization,organizations such as private company and goverment
1443,Jamaat-i-Islami,Text,Organization,organizations such as private company and goverment
1444,China,Text,Location,a place
1445,CHICAGO,Text,Organization,organizations such as private company and goverment
1446,WSRL,Text,Organization,organizations such as private company and goverment
1447,Gujarat,Text,Location,a place
1448,Texas,Text,Location,a place
1449,Kansas,Text,Location,a place
1450,Exeter,Text,Organization,organizations such as private company and goverment
1451,Tranmere,Text,Organization,organizations such as private company and goverment
1452,Grimsby,Text,Organization,organizations such as private company and goverment
1453,Portsmouth,Text,Organization,organizations such as private company and goverment
1454,Huddersfield,Text,Organization,organizations such as private company and goverment
1455,CrystalPalace,Text,Organization,organizations such as private company and goverment
1456,Wales,Text,Location,a place
1457,Dutroux,Text,Person,name of person
1458,Cannes,Text,Organization,organizations such as private company and goverment
1459,Monaco,Text,Organization,organizations such as private company and goverment
1460,Henry,Text,Person,name of person
1461,Zenith,Text,Organization,organizations such as private company and goverment
1462,NewYorkStockExchange,Text,Organization,organizations such as private company and goverment
1463,ORVIETO,Text,Location,a place
1464,Italy,Text,Location,a place
1465,Springboks,Text,Organization,organizations such as private company and goverment
1466,AllBlacks,Text,Organization,organizations such as private company and goverment
1467,Scifo,Text,Person,name of person
1468,Monaco,Text,Organization,organizations such as private company and goverment
1469,JamesDebbah,Text,Person,name of person
1470,Nice,Text,Organization,organizations such as private company and goverment
1471,PatriceLoko,Text,Person,name of person
1472,PSG,Text,Organization,organizations such as private company and goverment
1473,Montpellier,Text,Organization,organizations such as private company and goverment
1474,Cannes,Text,Organization,organizations such as private company and goverment
1475,Charvet,Text,Person,name of person
1476,SANDIEGO,Text,Organization,organizations such as private company and goverment
1477,Montreal,Text,Organization,organizations such as private company and goverment
1478,FirstAlliance,Text,Organization,organizations such as private company and goverment
1479,CostisStephanopoulos,Text,Person,name of person
1480,RyutaroHashimoto,Text,Person,name of person
1481,Japan,Text,Location,a place
1482,Arafat,Text,Person,name of person
1483,NCB,Text,Organization,organizations such as private company and goverment
1484,Finland,Text,Location,a place
1485,EuropeanUnion,Text,Organization,organizations such as private company and goverment
1486,Ipswich,Text,Organization,organizations such as private company and goverment
1487,Grimsby,Text,Organization,organizations such as private company and goverment
1488,H.K.,Text,Location,a place
1489,CHICAGO,Text,Organization,organizations such as private company and goverment
1490,Toronto,Text,Organization,organizations such as private company and goverment
1491,India,Text,Location,a place
