,Value,Type,Class,Description
1155,NATO,Organization,Political Secret,organizations such as private company and goverment.
1156,Monterrey,Organization,Political Secret,organizations such as private company and goverment.
1157,Israel,Location,Personal details,place
1158,KiryatSefer,Location,Personal details,place
1159,ArabEastJerusalem,Location,Personal details,place
1160,ROMANIA,Location,Personal details,place
1161,MILWAUKEE,Organization,Political Secret,organizations such as private company and goverment.
1162,CHICAGO,Location,Personal details,place
1163,Europe,Location,Personal details,place
1164,Essilor,Organization,Political Secret,organizations such as private company and goverment.
1165,OakleyInc,Organization,Political Secret,organizations such as private company and goverment.
1166,UnitedStates,Location,Personal details,place
1167,GentextOpticsInc,Organization,Political Secret,organizations such as private company and goverment.
1168,EssilorInternational,Organization,Political Secret,organizations such as private company and goverment.
1169,CarolNorris,Person,Personal details,name of person
1170,CarlosCheca,Person,Personal details,name of person
1171,Spain,Location,Personal details,place
1172,Honda,Organization,Political Secret,organizations such as private company and goverment.
1173,Scotland,Location,Personal details,place
1174,Belgrade,Location,Personal details,place
1175,SriLanka,Location,Personal details,place
1176,Australia,Location,Personal details,place
1177,Stansted,Location,Personal details,place
1178,Heathrow,Location,Personal details,place
1179,Gatwick,Location,Personal details,place
1180,Lehman,Organization,Political Secret,organizations such as private company and goverment.
1181,BlakeBath,Person,Personal details,name of person
1182,SouthernNewEnglandTelecommunciationsCorp,Organization,Political Secret,organizations such as private company and goverment.
1183,LabanRotich,Person,Personal details,name of person
1184,Kenya,Location,Personal details,place
1185,BetarJerusalem,Organization,Political Secret,organizations such as private company and goverment.
1186,Taibe,Organization,Political Secret,organizations such as private company and goverment.
1187,KaremHajYihye,Person,Personal details,name of person
1188,Jean-LouisDebre,Person,Personal details,name of person
1189,LaCorse,Organization,Political Secret,organizations such as private company and goverment.
1190,TELO,Organization,Political Secret,organizations such as private company and goverment.
1191,Trincomalee,Location,Personal details,place
1192,Sfeir,Person,Personal details,name of person
1193,Freetown,Location,Personal details,place
1194,Santos,Organization,Political Secret,organizations such as private company and goverment.
1195,Morelia,Organization,Political Secret,organizations such as private company and goverment.
1196,SEC,Organization,Political Secret,organizations such as private company and goverment.
1197,Nantes,Organization,Political Secret,organizations such as private company and goverment.
1198,HINCHCLIFFE,Person,Personal details,name of person
1199,ENGLAND,Location,Personal details,place
1200,IssaAlloush,Person,Personal details,name of person
1201,ENGLAND,Location,Personal details,place
1202,PAKISTAN,Location,Personal details,place
1203,Csepel,Organization,Political Secret,organizations such as private company and goverment.
1204,Videoton(*,Organization,Political Secret,organizations such as private company and goverment.
1205,Tehran,Location,Personal details,place
1206,Ankara,Location,Personal details,place
1207,Turkey,Location,Personal details,place
1208,AmsterdamNewsroom,Organization,Political Secret,organizations such as private company and goverment.
1209,SigekiMaruyama,Person,Personal details,name of person
1210,Japan,Location,Personal details,place
1211,India,Location,Personal details,place
1212,SriLanka,Location,Personal details,place
1213,Mayfiar,Person,Personal details,name of person
1214,SteveStricker,Person,Personal details,name of person
1215,DuffyWaldorf,Person,Personal details,name of person
1216,U.S.,Location,Personal details,place
1217,Indonesia,Location,Personal details,place
1218,Sidhu,Person,Personal details,name of person
1219,SriLanka,Location,Personal details,place
1220,Pakistan,Location,Personal details,place
1221,Canada,Location,Personal details,place
1222,Pittsburgh,Organization,Political Secret,organizations such as private company and goverment.
1223,COLORADO,Organization,Political Secret,organizations such as private company and goverment.
1224,Germany,Location,Personal details,place
1225,EuropeanUnion,Organization,Political Secret,organizations such as private company and goverment.
1226,WernerZwingmann,Person,Personal details,name of person
1227,Britain,Location,Personal details,place
1228,Cologne,Location,Personal details,place
1229,AUSTRIA,Location,Personal details,place
1230,SCOTLAND,Location,Personal details,place
1231,BayernMunich,Organization,Political Secret,organizations such as private company and goverment.
1232,Dole,Person,Personal details,name of person
1233,LONDON,Location,Personal details,place
1234,Hamas,Organization,Political Secret,organizations such as private company and goverment.
1235,IslamicSalvationFront,Organization,Political Secret,organizations such as private company and goverment.
1236,FIS,Organization,Political Secret,organizations such as private company and goverment.
1237,Implats,Organization,Political Secret,organizations such as private company and goverment.
1238,Lotte,Organization,Political Secret,organizations such as private company and goverment.
1239,Huber,Person,Personal details,name of person
1240,AmandaCoetzer,Person,Personal details,name of person
1241,AntoineLebouc,Person,Personal details,name of person
1242,France,Location,Personal details,place
1243,IanWoosnam,Person,Personal details,name of person
1244,NecmettinErbakan,Person,Personal details,name of person
1245,Iran,Location,Personal details,place
1246,YANKEES,Organization,Political Secret,organizations such as private company and goverment.
1247,RomanianSoccerFederation,Organization,Political Secret,organizations such as private company and goverment.
1248,JiulPetrosani,Organization,Political Secret,organizations such as private company and goverment.
1249,MironCozma,Person,Personal details,name of person
1250,MerrillLynch,Organization,Political Secret,organizations such as private company and goverment.
1251,SBCWarburg,Organization,Political Secret,organizations such as private company and goverment.
1252,Malta,Location,Personal details,place
1253,Feugill,Person,Personal details,name of person
1254,Marines,Organization,Political Secret,organizations such as private company and goverment.
1255,MasanagaShiohara,Person,Personal details,name of person
1256,Japan,Location,Personal details,place
1257,Egypt,Location,Personal details,place
1258,Chang,Person,Personal details,name of person
1259,Albania,Location,Personal details,place
1260,OTTAWA,Location,Personal details,place
1261,France,Location,Personal details,place
1262,Emeraud,Organization,Political Secret,organizations such as private company and goverment.
1263,Start,Organization,Political Secret,organizations such as private company and goverment.
1264,Stockport,Organization,Political Secret,organizations such as private company and goverment.
1265,Bournemouth,Organization,Political Secret,organizations such as private company and goverment.
1266,GillianRussell,Person,Personal details,name of person
1267,Jamaica,Location,Personal details,place
1268,SouthAfrica,Location,Personal details,place
1269,GideonChirchir,Person,Personal details,name of person
1270,Kenya,Location,Personal details,place
1271,Israel,Location,Personal details,place
1272,PalestinianAuthority,Organization,Political Secret,organizations such as private company and goverment.
1273,HillaryRodhamClinton,Person,Personal details,name of person
1274,PolPot,Person,Personal details,name of person
1275,KhmerRouge,Organization,Political Secret,organizations such as private company and goverment.
1276,Cambodia,Location,Personal details,place
1277,CINCINNATI,Organization,Political Secret,organizations such as private company and goverment.
1278,COLORADO,Location,Personal details,place
1279,Reading,Organization,Political Secret,organizations such as private company and goverment.
1280,Cambodia,Location,Personal details,place
1281,EzerWeizman,Person,Personal details,name of person
1282,YasserArafat,Person,Personal details,name of person
1283,Israel,Location,Personal details,place
1284,KeijiKojima,Person,Personal details,name of person
1285,Japan,Location,Personal details,place
1286,Grozny,Location,Personal details,place
1287,Chechnya,Location,Personal details,place
1288,AnatolyShkirko,Person,Personal details,name of person
1289,Interfax,Organization,Political Secret,organizations such as private company and goverment.
1290,PakistaniKashmir,Location,Personal details,place
1291,Stallone,Person,Personal details,name of person
1292,Rohrabacher,Person,Personal details,name of person
1293,Bagram,Location,Personal details,place
1294,Kabul,Location,Personal details,place
1295,RedCross,Organization,Political Secret,organizations such as private company and goverment.
1296,AbdulRashidDostum,Person,Personal details,name of person
1297,ATHENS,Location,Personal details,place
1298,Treasury,Organization,Political Secret,organizations such as private company and goverment.
1299,Williams,Person,Personal details,name of person
1300,Ilott,Person,Personal details,name of person
1301,Gloucestershire,Organization,Political Secret,organizations such as private company and goverment.
1302,Colchester,Location,Personal details,place
1303,VicorpRestaurants,Organization,Political Secret,organizations such as private company and goverment.
1304,Sabourin,Location,Personal details,place
1305,BankDuta,Organization,Political Secret,organizations such as private company and goverment.
1306,Wolverhampton,Organization,Political Secret,organizations such as private company and goverment.
1307,Belmondo,Person,Personal details,name of person
1308,France,Location,Personal details,place
1309,ChuckAdams,Person,Personal details,name of person
1310,U.S.,Location,Personal details,place
1311,SriLanka,Location,Personal details,place
1312,NewZealand,Location,Personal details,place
1313,DAWN,Organization,Political Secret,organizations such as private company and goverment.
1314,NECNijmegen,Organization,Political Secret,organizations such as private company and goverment.
1315,COLOMBO,Location,Personal details,place
1316,EuropeanUnion,Organization,Political Secret,organizations such as private company and goverment.
1317,SARAJEVO,Location,Personal details,place
1318,Leipzig,Location,Personal details,place
1319,Halle,Location,Personal details,place
1320,Guinea,Location,Personal details,place
1321,SidiaToure,Person,Personal details,name of person
1322,FrancisMoreau,Person,Personal details,name of person
1323,France,Location,Personal details,place
1324,CINCINNATI,Organization,Political Secret,organizations such as private company and goverment.
1325,COLORADO,Location,Personal details,place
1326,JonDahlTomasson,Person,Personal details,name of person
1327,Ajax,Organization,Political Secret,organizations such as private company and goverment.
1328,vanderSar,Person,Personal details,name of person
1329,Hamilton,Organization,Political Secret,organizations such as private company and goverment.
1330,Clyde,Organization,Political Secret,organizations such as private company and goverment.
1331,Mexico,Location,Personal details,place
1332,Durham,Organization,Political Secret,organizations such as private company and goverment.
1333,MDS,Organization,Political Secret,organizations such as private company and goverment.
1334,AhmedMestiri,Person,Personal details,name of person
1335,Mubarak,Person,Personal details,name of person
1336,Ekeus,Person,Personal details,name of person
1337,UnitedNationsSpecialCommission,Organization,Political Secret,organizations such as private company and goverment.
1338,UNSCOM,Organization,Political Secret,organizations such as private company and goverment.
1339,Iraq,Location,Personal details,place
1340,Simpson,Person,Personal details,name of person
1341,MalcolmRifkind,Person,Personal details,name of person
1342,London,Location,Personal details,place
1343,Morocco,Location,Personal details,place
1344,SalahHissou,Person,Personal details,name of person
1345,Brussels,Location,Personal details,place
1346,Vaduz,Location,Personal details,place
1347,AlanKernaghan,Person,Personal details,name of person
1348,LiamDaish,Person,Personal details,name of person
1349,HongKong,Location,Personal details,place
1350,MohamedAliKhalfallah,Person,Personal details,name of person
1351,MovementofSocialistDemocrats,Organization,Political Secret,organizations such as private company and goverment.
1352,MDS,Organization,Political Secret,organizations such as private company and goverment.
1353,GoranIvanisevic,Person,Personal details,name of person
1354,Croatia,Location,Personal details,place
1355,MikaelTillstrom,Person,Personal details,name of person
1356,Sweden,Location,Personal details,place
1357,SEC,Organization,Political Secret,organizations such as private company and goverment.
1358,UNSecurityCouncil,Organization,Political Secret,organizations such as private company and goverment.
1359,Angola,Location,Personal details,place
1360,VitorBaia,Person,Personal details,name of person
1361,RuiCorreia,Person,Personal details,name of person
1362,Egypt,Location,Personal details,place
1363,FLORIDA,Organization,Political Secret,organizations such as private company and goverment.
1364,JERUSALEM,Location,Personal details,place
1365,WillemIITilburg,Organization,Political Secret,organizations such as private company and goverment.
1366,NewYorkTimes,Organization,Political Secret,organizations such as private company and goverment.
1367,ArminiaBielefeld,Organization,Political Secret,organizations such as private company and goverment.
1368,VonHeesen,Person,Personal details,name of person
1369,Duisburg,Organization,Political Secret,organizations such as private company and goverment.
1370,Hirsch,Person,Personal details,name of person
1371,JulieTolkacheva,Person,Personal details,name of person
1372,MoscowNewsroom,Organization,Political Secret,organizations such as private company and goverment.
1373,COMMACK,Location,Personal details,place
1374,NewYork,Location,Personal details,place
1375,Akashi,Person,Personal details,name of person
1376,DepartmentofHumanitarianaffairs,Organization,Political Secret,organizations such as private company and goverment.
1377,FairviewTown,Location,Personal details,place
1378,WASHINGTON,Location,Personal details,place
1379,GKSKatowice,Organization,Political Secret,organizations such as private company and goverment.
1380,PoloniaWarsaw,Organization,Political Secret,organizations such as private company and goverment.
1381,Almere,Location,Personal details,place
1382,Doetinchem,Location,Personal details,place
1383,Israel,Location,Personal details,place
1384,AnneThily,Person,Personal details,name of person
1385,Liege,Location,Personal details,place
1386,Julie,Person,Personal details,name of person
1387,Melissa,Person,Personal details,name of person
1388,U.S.,Location,Personal details,place
1389,FederalBureauofInvestigation,Organization,Political Secret,organizations such as private company and goverment.
1390,DennisLillee,Person,Personal details,name of person
1391,Australia,Location,Personal details,place
1392,MILWAUKEE,Organization,Political Secret,organizations such as private company and goverment.
1393,PaulLawrie,Person,Personal details,name of person
1394,MiguelAngelJimenez,Person,Personal details,name of person
1395,Spain,Location,Personal details,place
1396,PennTreaty,Organization,Political Secret,organizations such as private company and goverment.
1397,NewYork,Location,Personal details,place
1398,ENGLAND,Location,Personal details,place
1399,SriLanka,Location,Personal details,place
1400,WorldXI,Organization,Political Secret,organizations such as private company and goverment.
1401,TUNIS,Location,Personal details,place
1402,WASHINGTON,Location,Personal details,place
1403,FCLinz,Organization,Political Secret,organizations such as private company and goverment.
1404,Baker,Person,Personal details,name of person
1405,Syria,Location,Personal details,place
1406,Rio,Location,Personal details,place
1407,Moscow,Location,Personal details,place
1408,Brazil,Location,Personal details,place
1409,Russia,Location,Personal details,place
1410,Mass,Location,Personal details,place
1411,OFKKikinda,Organization,Political Secret,organizations such as private company and goverment.
1412,Bratislava,Location,Personal details,place
1413,An,Person,Personal details,name of person
1414,Eefje,Person,Personal details,name of person
1415,Prague,Location,Personal details,place
1416,Auxerre,Organization,Political Secret,organizations such as private company and goverment.
1417,Marseille,Organization,Political Secret,organizations such as private company and goverment.
1418,LynneO'Donnell,Person,Personal details,name of person
1419,Dutroux,Person,Personal details,name of person
1420,JulieLejeune,Person,Personal details,name of person
1421,MelissaRusso,Person,Personal details,name of person
1422,Charleroi,Location,Personal details,place
1423,WilfriedPeeters,Person,Personal details,name of person
1424,Belgium,Location,Personal details,place
1425,Mapei,Organization,Political Secret,organizations such as private company and goverment.
1426,Minnesota,Location,Personal details,place
1427,JohnJaha,Person,Personal details,name of person
1428,MilwaukeeBrewers,Organization,Political Secret,organizations such as private company and goverment.
1429,Twins,Organization,Political Secret,organizations such as private company and goverment.
1430,China,Location,Personal details,place
1431,Taiwan,Location,Personal details,place
1432,DETROIT,Organization,Political Secret,organizations such as private company and goverment.
1433,Chicago,Organization,Political Secret,organizations such as private company and goverment.
1434,LONDON,Location,Personal details,place
1435,Stansted,Location,Personal details,place
1436,London,Location,Personal details,place
1437,Heathrow,Location,Personal details,place
1438,Gatwick,Location,Personal details,place
1439,Bosnia,Location,Personal details,place
1440,NACBreda,Organization,Political Secret,organizations such as private company and goverment.
1441,SEC,Organization,Political Secret,organizations such as private company and goverment.
1442,NationalAssociationofSecuritiesDealers,Organization,Political Secret,organizations such as private company and goverment.
1443,Jamaat-i-Islami,Organization,Political Secret,organizations such as private company and goverment.
1444,China,Location,Personal details,place
1445,CHICAGO,Organization,Political Secret,organizations such as private company and goverment.
1446,WSRL,Organization,Political Secret,organizations such as private company and goverment.
1447,Gujarat,Location,Personal details,place
1448,Texas,Location,Personal details,place
1449,Kansas,Location,Personal details,place
1450,Exeter,Organization,Political Secret,organizations such as private company and goverment.
1451,Tranmere,Organization,Political Secret,organizations such as private company and goverment.
1452,Grimsby,Organization,Political Secret,organizations such as private company and goverment.
1453,Portsmouth,Organization,Political Secret,organizations such as private company and goverment.
1454,Huddersfield,Organization,Political Secret,organizations such as private company and goverment.
1455,CrystalPalace,Organization,Political Secret,organizations such as private company and goverment.
1456,Wales,Location,Personal details,place
1457,Dutroux,Person,Personal details,name of person
1458,Cannes,Organization,Political Secret,organizations such as private company and goverment.
1459,Monaco,Organization,Political Secret,organizations such as private company and goverment.
1460,Henry,Person,Personal details,name of person
1461,Zenith,Organization,Political Secret,organizations such as private company and goverment.
1462,NewYorkStockExchange,Organization,Political Secret,organizations such as private company and goverment.
1463,ORVIETO,Location,Personal details,place
1464,Italy,Location,Personal details,place
1465,Springboks,Organization,Political Secret,organizations such as private company and goverment.
1466,AllBlacks,Organization,Political Secret,organizations such as private company and goverment.
1467,Scifo,Person,Personal details,name of person
1468,Monaco,Organization,Political Secret,organizations such as private company and goverment.
1469,JamesDebbah,Person,Personal details,name of person
1470,Nice,Organization,Political Secret,organizations such as private company and goverment.
1471,PatriceLoko,Person,Personal details,name of person
1472,PSG,Organization,Political Secret,organizations such as private company and goverment.
1473,Montpellier,Organization,Political Secret,organizations such as private company and goverment.
1474,Cannes,Organization,Political Secret,organizations such as private company and goverment.
1475,Charvet,Person,Personal details,name of person
1476,SANDIEGO,Organization,Political Secret,organizations such as private company and goverment.
1477,Montreal,Organization,Political Secret,organizations such as private company and goverment.
1478,FirstAlliance,Organization,Political Secret,organizations such as private company and goverment.
1479,CostisStephanopoulos,Person,Personal details,name of person
1480,RyutaroHashimoto,Person,Personal details,name of person
1481,Japan,Location,Personal details,place
1482,Arafat,Person,Personal details,name of person
1483,NCB,Organization,Political Secret,organizations such as private company and goverment.
1484,Finland,Location,Personal details,place
1485,EuropeanUnion,Organization,Political Secret,organizations such as private company and goverment.
1486,Ipswich,Organization,Political Secret,organizations such as private company and goverment.
1487,Grimsby,Organization,Political Secret,organizations such as private company and goverment.
1488,H.K.,Location,Personal details,place
1489,CHICAGO,Organization,Political Secret,organizations such as private company and goverment.
1490,Toronto,Organization,Political Secret,organizations such as private company and goverment.
1491,India,Location,Personal details,place
1492,India,Location,Personal details,place
1493,India,Location,Personal details,place
1494,WesternReds,Organization,Political Secret,organizations such as private company and goverment.
1495,RUGBYUNION,Organization,Political Secret,organizations such as private company and goverment.
1496,CARLING,Person,Personal details,name of person
1497,ENGLAND,Location,Personal details,place
1498,NathalieTauziat,Person,Personal details,name of person
1499,France,Location,Personal details,place
1500,Shi-TingWang,Person,Personal details,name of person
1501,Taiwan,Location,Personal details,place
1502,YugoZastava,Organization,Political Secret,organizations such as private company and goverment.
1503,RTRS,Organization,Political Secret,organizations such as private company and goverment.
1504,ToyotaAustralia,Organization,Political Secret,organizations such as private company and goverment.
1505,Wolf,Person,Personal details,name of person
1506,U.S.,Location,Personal details,place
1507,JohnBissell,Person,Personal details,name of person
1508,Newark,Location,Personal details,place
1509,Worcestershire,Organization,Political Secret,organizations such as private company and goverment.
1510,POPOV,Person,Personal details,name of person
1511,Lugano,Organization,Political Secret,organizations such as private company and goverment.
1512,Germany,Location,Personal details,place
1513,Poland,Location,Personal details,place
1514,PAP,Organization,Political Secret,organizations such as private company and goverment.
1515,GabrielaSabatini,Person,Personal details,name of person
1516,Argentina,Location,Personal details,place
1517,AsaCarlsson,Person,Personal details,name of person
1518,Sweden,Location,Personal details,place
1519,Mariners,Organization,Political Secret,organizations such as private company and goverment.
1520,Ripken,Person,Personal details,name of person
1521,SterlingHitchcock,Person,Personal details,name of person
1522,Atria,Organization,Political Secret,organizations such as private company and goverment.
1523,Nottinghamshire,Organization,Political Secret,organizations such as private company and goverment.
1524,WoodlandsNursingHome,Location,Personal details,place
1525,Flamengo,Organization,Political Secret,organizations such as private company and goverment.
1526,Juventude,Organization,Political Secret,organizations such as private company and goverment.
1527,BernardHickey,Person,Personal details,name of person
1528,Estudiantes,Organization,Political Secret,organizations such as private company and goverment.
1529,BocaJuniors,Organization,Political Secret,organizations such as private company and goverment.
1530,GraemeObree,Person,Personal details,name of person
1531,Atlanta,Location,Personal details,place
1532,Collinelli,Person,Personal details,name of person
1533,PalestinianLegislativeCouncil,Organization,Political Secret,organizations such as private company and goverment.
1534,Israel,Location,Personal details,place
1535,YasserArafat,Person,Personal details,name of person
1536,Pecs,Organization,Political Secret,organizations such as private company and goverment.
1537,GregNorman,Person,Personal details,name of person
1538,India,Location,Personal details,place
1539,England,Location,Personal details,place
1540,Pakistan,Location,Personal details,place
1541,NorthSydney,Organization,Political Secret,organizations such as private company and goverment.
1542,SouthSydney,Organization,Political Secret,organizations such as private company and goverment.
1543,Portsmouth,Organization,Political Secret,organizations such as private company and goverment.
1544,Queen'sParkRangers,Organization,Political Secret,organizations such as private company and goverment.
1545,FCBohemians,Organization,Political Secret,organizations such as private company and goverment.
1546,Owen-Jones,Person,Personal details,name of person
1547,Raphanel,Person,Personal details,name of person
1548,RepublikaSrbska,Location,Personal details,place
1549,BarringtonResearchAssociatesInc,Organization,Political Secret,organizations such as private company and goverment.
1550,UnitogCo,Organization,Political Secret,organizations such as private company and goverment.
1551,Barrick,Organization,Political Secret,organizations such as private company and goverment.
1552,Pierina,Location,Personal details,place
1553,SierraLeone,Location,Personal details,place
1554,YORK,Location,Personal details,place
1555,England,Location,Personal details,place
1556,PetrKorda,Person,Personal details,name of person
1557,CzechRepublic,Location,Personal details,place
1558,GLORIABISTRITA,Organization,Political Secret,organizations such as private company and goverment.
1559,F.C.VALLETTA,Organization,Political Secret,organizations such as private company and goverment.
1560,MONTREAL,Organization,Political Secret,organizations such as private company and goverment.
1561,SANFRANCISCO,Location,Personal details,place
1562,CHICAGO,Location,Personal details,place
1563,Wycombe,Organization,Political Secret,organizations such as private company and goverment.
1564,Gillingham,Organization,Political Secret,organizations such as private company and goverment.
1565,AjaxAmsterdam,Organization,Political Secret,organizations such as private company and goverment.
1566,LaurentJalabert,Person,Personal details,name of person
1567,France,Location,Personal details,place
1568,U.S.,Location,Personal details,place
1569,Iraq,Location,Personal details,place
1570,WorldCom,Organization,Political Secret,organizations such as private company and goverment.
1571,MFS,Organization,Political Secret,organizations such as private company and goverment.
1572,MFS,Organization,Political Secret,organizations such as private company and goverment.
1573,AnMarchal,Person,Personal details,name of person
1574,EefjeLambrecks,Person,Personal details,name of person
1575,Pohang,Organization,Political Secret,organizations such as private company and goverment.
1576,Chonbuk,Organization,Political Secret,organizations such as private company and goverment.
1577,Hanson,Person,Personal details,name of person
1578,JanaNovotna,Person,Personal details,name of person
1579,CzechRepublic,Location,Personal details,place
1580,FlorenciaLabat,Person,Personal details,name of person
1581,Argentina,Location,Personal details,place
1582,Palkhivala,Person,Personal details,name of person
1583,HidemichiTanaka,Person,Personal details,name of person
1584,Japan,Location,Personal details,place
1585,I.Salisbury,Person,Personal details,name of person
1586,Inzamam-ul-Haq,Person,Personal details,name of person
1587,WasimAkram,Person,Personal details,name of person
1588,Olympiakos,Organization,Political Secret,organizations such as private company and goverment.
1589,Greece,Location,Personal details,place
1590,Yugoslavia,Location,Personal details,place
1591,RedStar,Organization,Political Secret,organizations such as private company and goverment.
1592,MichelleFreeman,Person,Personal details,name of person
1593,Jamaica,Location,Personal details,place
1594,Wolverhampton,Organization,Political Secret,organizations such as private company and goverment.
1595,MONROVIA,Location,Personal details,place
1596,Odnosum,Person,Personal details,name of person
1597,EricWymeersch,Person,Personal details,name of person
1598,Belgium,Location,Personal details,place
1599,Israel,Location,Personal details,place
1600,Lebanon,Location,Personal details,place
1601,ArantxaSanchezVicario,Person,Personal details,name of person
1602,Spain,Location,Personal details,place
1603,NaokoKijimuta,Person,Personal details,name of person
1604,Japan,Location,Personal details,place
1605,Hintsa,Person,Personal details,name of person
1606,NelsonMandela,Person,Personal details,name of person
1607,Illinois,Location,Personal details,place
1608,Indiana,Location,Personal details,place
1609,Ravenna,Organization,Political Secret,organizations such as private company and goverment.
1610,Inter,Organization,Political Secret,organizations such as private company and goverment.
1611,China,Location,Personal details,place
1612,Taipei,Location,Personal details,place
1613,Ukraine,Location,Personal details,place
1614,Lien,Person,Personal details,name of person
1615,F.C.PetrolulPloiesti,Organization,Political Secret,organizations such as private company and goverment.
1616,PolitehnicaTimisoara,Organization,Political Secret,organizations such as private company and goverment.
1617,ManchesterUnited,Organization,Political Secret,organizations such as private company and goverment.
1618,KANSASCITY,Organization,Political Secret,organizations such as private company and goverment.
1619,U.S.,Location,Personal details,place
1620,Athens,Location,Personal details,place
1621,Athens,Location,Personal details,place
1622,Thessaloniki,Location,Personal details,place
1623,U.S.,Location,Personal details,place
1624,Greece,Location,Personal details,place
1625,U.S.,Location,Personal details,place
1626,CHICAGO,Organization,Political Secret,organizations such as private company and goverment.
1627,ATLANTA,Location,Personal details,place
1628,China,Location,Personal details,place
1629,BayernMunich,Organization,Political Secret,organizations such as private company and goverment.
1630,NicoleBrownSimpson,Person,Personal details,name of person
1631,RonaldGoldman,Person,Personal details,name of person
1632,NEWYORK,Location,Personal details,place
1633,IVAC,Organization,Political Secret,organizations such as private company and goverment.
1634,AdvancedMedical,Organization,Political Secret,organizations such as private company and goverment.
1635,IMEDCorp.,Organization,Political Secret,organizations such as private company and goverment.
1636,Barcelona,Organization,Political Secret,organizations such as private company and goverment.
1637,HristoStoichkov,Person,Personal details,name of person
1638,SergiBarjuan,Person,Personal details,name of person
1639,MaicelMalone,Person,Personal details,name of person
1640,U.S.,Location,Personal details,place
1641,Unita,Organization,Political Secret,organizations such as private company and goverment.
1642,GovernmentofNationalUnityandReconciliation,Organization,Political Secret,organizations such as private company and goverment.
1643,FranciscoClavet,Person,Personal details,name of person
1644,Spain,Location,Personal details,place
1645,CedricPioline,Person,Personal details,name of person
1646,France,Location,Personal details,place
1647,NEWDELHI,Location,Personal details,place
1648,Airdrieonians,Organization,Political Secret,organizations such as private company and goverment.
1649,EastFife,Organization,Political Secret,organizations such as private company and goverment.
1650,Petra,Organization,Political Secret,organizations such as private company and goverment.
1651,Kabariti,Person,Personal details,name of person
1652,Steptoe&Johnson,Organization,Political Secret,organizations such as private company and goverment.
1653,Clarksburg,Location,Personal details,place
1654,AstonVilla,Organization,Political Secret,organizations such as private company and goverment.
1655,Derby,Organization,Political Secret,organizations such as private company and goverment.
1656,Hanmer,Location,Personal details,place
1657,SanJose,Location,Personal details,place
1658,Calif.,Location,Personal details,place
1659,Aegon,Organization,Political Secret,organizations such as private company and goverment.
1660,LANDSKRONA,Location,Personal details,place
1661,Sweden,Location,Personal details,place
1662,Essendon,Organization,Political Secret,organizations such as private company and goverment.
1663,Yeltsin,Person,Personal details,name of person
1664,OGlobo,Organization,Political Secret,organizations such as private company and goverment.
1665,Bamerindus,Organization,Political Secret,organizations such as private company and goverment.
1666,Duisburg,Organization,Political Secret,organizations such as private company and goverment.
1667,CME,Organization,Political Secret,organizations such as private company and goverment.
1668,London,Location,Personal details,place
1669,SMICER,Person,Personal details,name of person
1670,LENS,Organization,Political Secret,organizations such as private company and goverment.
1671,Ferrigato,Person,Personal details,name of person
1672,Museeuw,Person,Personal details,name of person
1673,Crvenazvezda,Organization,Political Secret,organizations such as private company and goverment.
1674,Proleter,Organization,Political Secret,organizations such as private company and goverment.
1675,Commonwealth,Organization,Political Secret,organizations such as private company and goverment.
1676,Munich,Location,Personal details,place
1677,"Goldman,Sachs&Co",Organization,Political Secret,organizations such as private company and goverment.
1678,INDIA,Location,Personal details,place
1679,SIDHU,Person,Personal details,name of person
1680,U.N.,Organization,Political Secret,organizations such as private company and goverment.
1681,Ekeus,Person,Personal details,name of person
1682,Baghdad,Location,Personal details,place
1683,Australia,Location,Personal details,place
1684,DarrynHill,Person,Personal details,name of person
1685,ShaneKelly,Person,Personal details,name of person
1686,GaryNeiwand,Person,Personal details,name of person
1687,CHICAGO,Location,Personal details,place
1688,ISS,Organization,Political Secret,organizations such as private company and goverment.
1689,U.S,Location,Personal details,place
1690,ISSInc,Organization,Political Secret,organizations such as private company and goverment.
1691,AaxisLimited,Organization,Political Secret,organizations such as private company and goverment.
1692,RuhunuUniversity,Organization,Political Secret,organizations such as private company and goverment.
1693,TorpedoZaporizhya,Organization,Political Secret,organizations such as private company and goverment.
1694,ShakhtarDonetsk,Organization,Political Secret,organizations such as private company and goverment.
1695,BenjaminNetanyahu,Person,Personal details,name of person
1696,Authority,Organization,Political Secret,organizations such as private company and goverment.
1697,GazaStrip,Location,Personal details,place
1698,WestBank,Location,Personal details,place
1699,Jerusalem,Location,Personal details,place
1700,Russia,Location,Personal details,place
1701,Brazil,Location,Personal details,place
1702,Gencor,Organization,Political Secret,organizations such as private company and goverment.
1703,BayernMunich,Organization,Political Secret,organizations such as private company and goverment.
1704,Shanghai-EkChorMotorcycleCo,Organization,Political Secret,organizations such as private company and goverment.
1705,Sino-Thai,Organization,Political Secret,organizations such as private company and goverment.
1706,PudongNewArea,Location,Personal details,place
1707,Shanghai,Location,Personal details,place
1708,Xinhua,Organization,Political Secret,organizations such as private company and goverment.
1709,Cozma,Person,Personal details,name of person
1710,Bucharest,Location,Personal details,place
1711,PetreRoman,Person,Personal details,name of person
1712,RedStar,Organization,Political Secret,organizations such as private company and goverment.
1713,KurtBetschart,Person,Personal details,name of person
1714,BrunoRisi,Person,Personal details,name of person
1715,Switzerland,Location,Personal details,place
1716,FedericoColonna,Person,Personal details,name of person
1717,Italy,Location,Personal details,place
1718,Mapei,Organization,Political Secret,organizations such as private company and goverment.
